Frame_Index,Width
639002,127.0882034
639003,127.0882034
639004,127.0882034
639005,127.0882034
639006,127.0882034
639007,127.0882034
639008,127.0882034
639009,127.0882034
639010,127.0882034
639011,127.0882034
639012,127.0882034
639013,127.0882034
639014,127.0882034
639015,127.0882034
639016,127.0882034
639017,127.0882034
639018,127.0882034
639019,127.0882034
639020,127.0882034
639021,127.0882034
639022,127.0882034
639023,127.0882034
639024,127.0882034
639025,127.0882034
639026,127.0882034
639027,127.0882034
639028,127.0882034
639029,127.0882034
639030,127.0882034
639031,127.0882034
639032,127.0882034
639033,127.0882034
639034,127.0882034
639035,127.0882034
639036,127.0882034
639037,127.0882034
639038,127.0882034
639039,127.0882034
639040,127.0882034
639041,127.0882034
639042,127.0882034
639043,127.0882034
639044,127.0882034
639045,127.0882034
639046,127.0882034
639047,127.0882034
639048,127.0882034
639049,127.0882034
639050,127.0882034
639051,127.0882034
639052,127.0882034
639053,127.0882034
639054,127.0882034
639055,127.0882034
639056,127.0882034
639057,127.0882034
639058,127.0882034
639059,127.0882034
639060,127.0882034
639061,127.0882034
639062,127.0882034
639063,127.0882034
639064,127.0882034
639065,127.0882034
639066,127.0882034
639067,127.0882034
639068,127.0882034
639069,127.0882034
639070,127.0882034
639071,127.0882034
639072,127.0882034
639073,127.0882034
639074,127.0882034
639075,127.0882034
639076,127.0882034
639077,127.0882034
639078,127.0882034
639079,127.0882034
639080,127.0882034
639081,127.0882034
639082,127.0882034
639083,127.0882034
639084,127.0882034
639085,127.0882034
639086,127.0882034
639087,127.0882034
639088,127.0882034
639089,127.0882034
639090,127.0882034
639091,127.0882034
639092,127.0882034
639093,127.0882034
639094,127.0882034
639095,127.0882034
639096,127.0882034
639097,127.0882034
639098,127.0882034
639148,115.6227112
639149,115.6227112
639150,115.6227112
639151,115.6227112
639152,115.6227112
639153,115.6227112
639154,115.6227112
639155,115.6227112
639156,115.6227112
639157,115.6227112
639158,115.6227112
639159,115.6227112
639160,115.6227112
639161,115.6227112
639162,115.6227112
639163,115.6227112
639164,115.6227112
639165,115.6227112
639166,115.6227112
639167,115.6227112
639168,115.6227112
639169,115.6227112
639170,115.6227112
639171,115.6227112
639172,115.6227112
639173,115.6227112
639174,115.6227112
639175,115.6227112
639176,115.6227112
639177,115.6227112
639178,115.6227112
639179,115.6227112
639180,115.6227112
639181,115.6227112
639182,115.6227112
639183,115.6227112
639184,115.6227112
639185,115.6227112
639186,115.6227112
639187,115.6227112
639188,115.6227112
639189,115.6227112
639190,115.6227112
639191,115.6227112
639192,115.6227112
639193,115.6227112
639194,115.6227112
639195,115.6227112
639196,115.6227112
639197,115.6227112
639198,115.6227112
639199,115.6227112
639200,115.6227112
639201,115.6227112
639202,115.6227112
639203,115.6227112
639204,115.6227112
639205,115.6227112
639206,115.6227112
639207,115.6227112
639208,115.6227112
639209,115.6227112
639210,115.6227112
639211,115.6227112
639212,115.6227112
639213,115.6227112
639214,115.6227112
639215,115.6227112
639216,115.6227112
639217,115.6227112
639218,115.6227112
639219,115.6227112
639220,115.6227112
639221,115.6227112
639222,115.6227112
639223,115.6227112
639224,115.6227112
639225,115.6227112
639226,115.6227112
639227,115.6227112
639228,115.6227112
639229,115.6227112
639230,115.6227112
639231,115.6227112
639232,115.6227112
639233,115.6227112
639234,115.6227112
639235,115.6227112
639236,115.6227112
639237,115.6227112
639238,115.6227112
639239,115.6227112
639240,115.6227112
639241,115.6227112
639242,115.6227112
639243,115.6227112
639297,102.2644577
639298,102.2644577
639299,102.2644577
639300,102.2644577
639301,102.2644577
639302,102.2644577
639303,102.2644577
639304,102.2644577
639305,102.2644577
639306,102.2644577
639307,102.2644577
639308,102.2644577
639309,102.2644577
639310,102.2644577
639311,102.2644577
639312,102.2644577
639313,102.2644577
639314,102.2644577
639315,102.2644577
639316,102.2644577
639317,102.2644577
639318,102.2644577
639319,102.2644577
639320,102.2644577
639321,102.2644577
639322,102.2644577
639323,102.2644577
639324,102.2644577
639325,102.2644577
639326,102.2644577
639327,102.2644577
639328,102.2644577
639329,102.2644577
639330,102.2644577
639331,102.2644577
639332,102.2644577
639333,102.2644577
639334,102.2644577
639335,102.2644577
639336,102.2644577
639337,102.2644577
639338,102.2644577
639339,102.2644577
639340,102.2644577
639341,102.2644577
639342,102.2644577
639343,102.2644577
639344,102.2644577
639345,102.2644577
639346,102.2644577
639347,102.2644577
639348,102.2644577
639349,102.2644577
639350,102.2644577
639351,102.2644577
639352,102.2644577
639353,102.2644577
639354,102.2644577
639355,102.2644577
639356,102.2644577
639357,102.2644577
639358,102.2644577
639359,102.2644577
639360,102.2644577
639361,102.2644577
639362,102.2644577
639363,102.2644577
639364,102.2644577
639365,102.2644577
639366,102.2644577
639367,102.2644577
639368,102.2644577
639369,102.2644577
639370,102.2644577
639371,102.2644577
639372,102.2644577
639373,102.2644577
639422,114.5608978
639423,114.5608978
639424,114.5608978
639425,114.5608978
639426,114.5608978
639427,114.5608978
639428,114.5608978
639429,114.5608978
639430,114.5608978
639431,114.5608978
639432,114.5608978
639433,114.5608978
639434,114.5608978
639435,114.5608978
639436,114.5608978
639437,114.5608978
